podcast,label,clean_text,title,release_date
Hidden Brain,0,typically divide country distinct groups democrats republicans real political divide country isnt left right care intensely politics dont week bring favorite conversation political scientist yanna krupnikov offers alternative way understand americans political viewsfor reporting intersection politics psychology check episode political hobbyism like classic episode come political values beliefs thanks listening hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,US 2.0: Not at the Dinner Table,2024-02-19
Hidden Brain,0,people died drug overdoses year heroin opioids widelyused tools confront crisis drug called naloxone reverse opioid overdose seconds hailed responders public health researchers earlier year economists released study suggested naloxone leading users engage riskier behavior causing deaths saves week talk researchers drug users families mental calculus opioid use theres struggling understand addiction information research episode visit hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,The Lazarus Drug,2018-10-29
Hidden Brain,0,sharing economy great gives opportunities connect strangers pool resources cheap ride weekend away week hidden brain look new platforms amplify old biases hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Episode 28: #AirbnbWhileBlack,2016-04-26
Hidden Brain,0,words use second thought psychologist james pennebaker says pay close attention patterns speech writing understand profound things ourselvesfor relationship language minds check classic hidden brain episode hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,What's Hidden in Your Words,2024-10-07
Hidden Brain,0,medical appointment doctor ask questions smoke getting exercise sleeping rarely ask lonely surgeon general vivek murthy believes suffering epidemic loneliness week revisit conversation murthy importance human connection physical mental health strengthen social tiesa note weeks episode includes discussion suicide youre experiencing suicidal crisis emotional distress based reach suicide crisis lifeline calling did catch weeks episode series power tiny interactions like work consider financial contribution help make episodes like hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Relationships 2.0: An Antidote to Loneliness,2022-11-14
Hidden Brain,0,change past erase trauma hardship way regain control personal narratives second series storytelling look interpreting stories lives rewriting change forever note weeks episode touches themes trauma suicide know having thoughts suicide text national suicide prevention lifeline hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,The Story of Your Life,2021-03-22
Hidden Brain,0,patience feel like lost art particularly culture prizes competition idea failing fast psychologist sarah schnitker says patience vital skill success personal professional lives talk sarah difference patience passivity train patient latest installment questions answered jennifer tostikharas responds listeners questions calling set aside longer serving episode youll learnwhy brains dislike uncertainty lead impatience hasty decisionsthe different types patience researchers identified affect lifehow strengthen ability practice patience relationship purpose patiencehow impatience affects mental physical health episode illustration gustopo galang unsplash hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,You 2.0: The Practice of Patience,2026-01-19
Hidden Brain,0,tone american politics benasty nastiness really worse previous eras does mean democracy historian david moss takes long view arguing american democracy resilient realize week hidden brain turn history insight current moment american politics hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,E Pluribus Unum?,2018-01-09
Hidden Brain,0,exciting dont know whats coming times unknown deeply troubling week talk researcher dannagal goldthwaite young respond uncertainty psychological trait plays surprisingly large role shaping behavior perspectives political beliefs youd like learn intersection psychology political views check hidden brain episodes moral combatus dinner tableus common hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Sitting With Uncertainty,2024-09-30
Hidden Brain,0,lot psychological noise involved teaching replaced mental clutterwith click week bring episode exploring innovative idea learn dolphin exhibit hawaii teaching hospital new york method quiet noise turn learning minefield misery hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,When Things Click,2020-02-04
Hidden Brain,0,stay course life shift changing tides week bring case studies world business explore science inflection points changes dramatically transform course events researcher rita mcgrath columbia university explains fail impending moments upheaval adept spotting themwhat youll learn weeks episodethe definition inflection point identify professional personal lifethe stages inflection points advantage themthe warning signs inflection point passing todays episode interesting insightful share people life recommendation best ways help connect new listeners ideas explore work sure sign newsletter week bring latest research human behavior brain teaser moment joy hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,When To Pivot,2025-03-10
Hidden Brain,0,humans wrestled questions identity purpose millennia surprise insights people lived hundreds thousands years ago stood test time week philosopher tamar gendler explores great thinkers ancient greece understood human psyche learn wisdom todayif know enjoy episode share thanks listening look forward bringing new hidden brain episodes hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,What Would Socrates Do?,2023-12-25
Hidden Brain,0,past weeks weve exploring psychology partisanship effectively handle disagreements week conclude series turning past talk journalist steve inskeep important leaders american history abraham lincoln grappled pressing moral question time worth compromising principles sake greater progressif enjoyed episode sure check conversation thomas jefferson historian annette gordonreed episode called founding contradiction podcast feed listen website hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,US 2.0: Lincoln's Dilemma,2024-02-26
Hidden Brain,0,hidden brain host shankar vedantam talks comedian aziz ansari star new netflix coauthor modern romance tinder texting dating bit like buying jam hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Episode 9: Aziz Ansari on Modern Love,2015-11-17
