word,score,podcast,abs_score
psychologist,-1.1398840202142067,Hidden Brain,1.1398840202142067
lives,-0.7868271903448784,Hidden Brain,0.7868271903448784
explore,-0.7679584363463713,Hidden Brain,0.7679584363463713
people,-0.7167636640308962,Hidden Brain,0.7167636640308962
life,-0.710603422750432,Hidden Brain,0.710603422750432
episodes,-0.7045923483847436,Hidden Brain,0.7045923483847436
work,-0.6996783566344852,Hidden Brain,0.6996783566344852
think,-0.6609012103497157,Hidden Brain,0.6609012103497157
feel,-0.6410128691711695,Hidden Brain,0.6410128691711695
ways,-0.6166384126913698,Hidden Brain,0.6166384126913698
make,-0.5861049757635735,Hidden Brain,0.5861049757635735
know,-0.5783030074301786,Hidden Brain,0.5783030074301786
conversation,-0.575874190723956,Hidden Brain,0.575874190723956
stories,-0.5757645433933921,Hidden Brain,0.5757645433933921
purpose,-0.5304419020447216,Hidden Brain,0.5304419020447216
time,-0.5291712461791919,Hidden Brain,0.5291712461791919
ideas,-0.5189617118588722,Hidden Brain,0.5189617118588722
look,-0.515731071869771,Hidden Brain,0.515731071869771
relationships,-0.5063834633558496,Hidden Brain,0.5063834633558496
learn,-0.498234249914501,Hidden Brain,0.498234249914501
director,1.0820348859745215,CNA Deep Dive,1.0820348859745215
university,1.0295224636448888,CNA Deep Dive,1.0295224636448888
school,0.9837186607499575,CNA Deep Dive,0.9837186607499575
national,0.9141919809891774,CNA Deep Dive,0.9141919809891774
minister,0.8963411363684889,CNA Deep Dive,0.8963411363684889
associate,0.8835996758972684,CNA Deep Dive,0.8835996758972684
ceo,0.8402042506074942,CNA Deep Dive,0.8402042506074942
government,0.7373579539478587,CNA Deep Dive,0.7373579539478587
business,0.7316313228774679,CNA Deep Dive,0.7316313228774679
institute,0.6681266108037409,CNA Deep Dive,0.6681266108037409
ai,0.6626416107538355,CNA Deep Dive,0.6626416107538355
chief,0.6446161054326041,CNA Deep Dive,0.6446161054326041
education,0.6295086585399159,CNA Deep Dive,0.6295086585399159
policy,0.6284336254134718,CNA Deep Dive,0.6284336254134718
public,0.6227340225540712,CNA Deep Dive,0.6227340225540712
head,0.6071500392046478,CNA Deep Dive,0.6071500392046478
senior,0.5985957091425819,CNA Deep Dive,0.5985957091425819
workers,0.5880803122927336,CNA Deep Dive,0.5880803122927336
management,0.5744579508103367,CNA Deep Dive,0.5744579508103367
law,0.5734872492020532,CNA Deep Dive,0.5734872492020532
