word,coefficient
psychologist,-1.146380365554614
lives,-0.7932731949994472
explore,-0.7671053640590149
people,-0.7181404550360643
life,-0.7109735538519946
work,-0.7059210459125472
think,-0.6594689210423619
feel,-0.6451322155692342
ways,-0.6203594220212324
make,-0.5951678714812105
know,-0.5833442583368905
stories,-0.5810158334815879
conversation,-0.5760712789013634
time,-0.5354654405555437
purpose,-0.5300665570765726
look,-0.5203208202741701
ideas,-0.5172901606868191
relationships,-0.50698746041463
hear,-0.5032242373626193
sure,-0.502238169109755
